total-place,gender-place,name,time,diff
,312,"Stenmark, Maja (SWE)",08:03:30,+03:40:24
,313,"Gentile, Marta (ITA)",08:04:03,+03:40:57
,314,"Skedung, Lisa (SWE)",08:04:32,+03:41:26
,315,"Sandh, Jenny (SWE)",08:04:39,+03:41:33
,316,"Gjälby, Erica (SWE)",08:04:49,+03:41:43
,317,"Zalite, Elita (LAT)",08:05:00,+03:41:54
,318,"Leimane, Zanete (LAT)",08:05:01,+03:41:55
,319,"Söderberg, Josefine (SWE)",08:05:21,+03:42:15
,320,"Gabrielsson, Sara (SWE)",08:05:47,+03:42:41
,321,"Cillerová, Michaela (CZE)",08:06:30,+03:43:24
,322,"Dallia Costa, Silvia (ITA)",08:08:12,+03:45:06
,323,"Sandström, Anna Maria (SWE)",08:08:27,+03:45:21
,324,"Bramsen Haugaard, Kristine (DEN)",08:08:36,+03:45:30
,325,"Johansson, Jenny (SWE)",08:08:48,+03:45:42
,326,"Ilg, Margit (AUT)",08:08:50,+03:45:44
,327,"Varesco, Alice (ITA)",08:09:28,+03:46:22
,328,"Arén, Anne (SWE)",08:09:35,+03:46:29
,329,"Fältström, Anne (SWE)",08:09:44,+03:46:38
,330,"Hajtmarova, Hana (CZE)",08:09:50,+03:46:44
,331,"Ahlström, Sofia (FIN)",08:09:51,+03:46:45
,332,"Asplund, Åsa (SWE)",08:10:05,+03:46:59
,333,"Jansson, Louise (SWE)",08:10:25,+03:47:19
,334,"Axelsson, Therese (SWE)",08:10:51,+03:47:45
,335,"Neuhauserova, Ladislava (CZE)",08:10:52,+03:47:46
,336,"Björn, Julia (SWE)",08:11:03,+03:47:57
,337,"Wållberg, Charlotta (SWE)",08:11:08,+03:48:02
,338,"Kyrvestad, Solveig (NOR)",08:11:13,+03:48:07
,339,"Rundqvist, Sara (SWE)",08:11:27,+03:48:21
,340,"Holmer, Lise Danielsen (NOR)",08:11:40,+03:48:34
,341,"Kale, Merle (EST)",08:11:47,+03:48:41
,342,"Roider, Antonia (AUT)",08:11:52,+03:48:46
,343,"Nones, Paola (ITA)",08:12:05,+03:48:59
,344,"Zobena, Dina (LAT)",08:12:09,+03:49:03
,345,"Julin, Lovisa (SWE)",08:12:14,+03:49:08
,346,"Jaakkola, Rinka (FIN)",08:12:26,+03:49:20
,347,"Husemoen, Karianne (NOR)",08:12:40,+03:49:34
,348,"Motyckova, Alena (CZE)",08:12:50,+03:49:44
,349,"Hægeland, Berit Nesheim (NOR)",08:13:23,+03:50:17
,350,"Novakova, Lenka (CZE)",08:14:11,+03:51:05
,351,"Öhrström, Sandra (SWE)",08:14:45,+03:51:39
,352,"Andersson, Cecilia (SWE)",08:14:59,+03:51:53
,353,"Ausland, Kaja (NOR)",08:15:07,+03:52:01
,354,"Orädd, Agnes (SWE)",08:15:26,+03:52:20
,355,"Wiese, Linda (SWE)",08:16:28,+03:53:22
,356,"Källbäck, Sara (SWE)",08:16:31,+03:53:25
,357,"Ragnarbaek, Amanda (SWE)",08:17:07,+03:54:01
,358,"Gulbrandsen, Nina Malme (NOR)",08:17:25,+03:54:19
,359,"Wallin, Lisa (SWE)",08:17:52,+03:54:46
,360,"Skoglund Gustafsson, Emma (SWE)",08:17:57,+03:54:51
,361,"Blückert, Anette (SWE)",08:18:00,+03:54:54
,362,"Lind, Sandra (SWE)",08:18:09,+03:55:03
,363,"Nebel, Antje (GER)",08:18:29,+03:55:23
,364,"Andersson, Catarina (SWE)",08:18:37,+03:55:31
,365,"Elfström, Sara (SWE)",08:18:49,+03:55:43
,366,"Rygh, Therese (SWE)",08:18:50,+03:55:44
,367,"Sjödin, Linnea (SWE)",08:19:12,+03:56:06
,368,"Okas, Erje (EST)",08:19:17,+03:56:11
,369,"Johansson, Annika (SWE)",08:20:39,+03:57:33
,370,"Skörde, Sofia (SWE)",08:20:44,+03:57:38
,371,"Andersson, Ellinor (SWE)",08:20:50,+03:57:44
,372,"Blixt, Emma (SWE)",08:21:28,+03:58:22
,373,"Melin, Emma (SWE)",08:21:36,+03:58:30
,374,"Gedda, Mikaela (SWE)",08:22:08,+03:59:02
,375,"Söderström, Catharina (SWE)",08:22:25,+03:59:19
,376,"Andersson, Mimmi (SWE)",08:22:47,+03:59:41
,377,"Englund, Lisa (SWE)",08:23:22,+04:00:16
,378,"Björklund, Lena (SWE)",08:23:23,+04:00:17
,379,"Tørnby, Kristin (NOR)",08:23:29,+04:00:23
,380,"Tobolová, Barbora (CZE)",08:23:35,+04:00:29
,381,"Hjorthaug, Hanne Sagsveen (NOR)",08:24:30,+04:01:24
,382,"Henrysson, Selma (SWE)",08:25:05,+04:01:59
,383,"Ekbring, Sofia (SWE)",08:25:09,+04:02:03
,384,"Haugen, Celine Greger (NOR)",08:25:18,+04:02:12
,385,"Svedberg, Frida (SWE)",08:25:49,+04:02:43
,386,"Mörk, Anna (SWE)",08:26:03,+04:02:57
,387,"Pospeshina, Lubov (SWE)",08:26:49,+04:03:43
,388,"Helin, Frida (SWE)",08:27:32,+04:04:26
,389,"Arosell, Elvira (SWE)",08:27:52,+04:04:46
,390,"Rosén Engström, Marie (SWE)",08:28:09,+04:05:03
,391,"Sjö, Anne (SWE)",08:28:31,+04:05:25
,392,"Björknäs, Hanna (SWE)",08:29:10,+04:06:04
,393,"Winblad, Anna (SWE)",08:29:29,+04:06:23
,394,"Sandström, Katarina (SWE)",08:30:15,+04:07:09
,395,"Hellman, Kristin (SWE)",08:32:23,+04:09:17
,396,"Edman Högling, Elvira (SWE)",08:32:43,+04:09:37
,397,"Eriksson, Rebecka (SWE)",08:32:52,+04:09:46
,398,"Schulz, Antonia (GER)",08:33:19,+04:10:13
,399,"Eckemalm, Caroline (SWE)",08:33:34,+04:10:28
,400,"Panozzo, Gaia (ITA)",08:34:11,+04:11:05
,401,"Gudmundsson, Louise (SWE)",08:34:40,+04:11:34
,402,"Kaucic, Urska (SLO)",08:34:54,+04:11:48
,403,"Boquist, Hanna (SWE)",08:35:16,+04:12:10
,404,"Kmentova, Vaclava (CZE)",08:35:23,+04:12:17
,405,"Jackson, Jennie (SWE)",08:35:27,+04:12:21
,406,"Misconel, Lisa (ITA)",08:35:41,+04:12:35
,407,"Pellegrin, Alberta (ITA)",08:35:41,+04:12:35
,408,"Angeli Strand, Amanda (SWE)",08:35:50,+04:12:44
,409,"Nilsson, Lina (SWE)",08:36:02,+04:12:56
,410,"Petersson, Åse (SWE)",08:36:22,+04:13:16
,411,"Brantvall, Sara (SWE)",08:36:29,+04:13:23
,412,"Härdin, Emelie (SWE)",08:36:37,+04:13:31
,413,"Gustafsson, Moa (SWE)",08:36:38,+04:13:32
,414,"Lindström, Anna (SWE)",08:36:46,+04:13:40
,415,"Eklöf, Anna (SWE)",08:37:15,+04:14:09
,416,"Karlsson, Annelie (SWE)",08:37:18,+04:14:12
,417,"Johansson, Nanna (SWE)",08:37:20,+04:14:14
,418,"Skölde, Malin (SWE)",08:37:25,+04:14:19
,419,"Ingard, Cecilia (SWE)",08:37:38,+04:14:32
,420,"Mathiasen, Jane (DEN)",08:39:09,+04:16:03
,421,"Asplund, Anna (ALA)",08:39:36,+04:16:30
,422,"Ingesson, Emma (SWE)",08:40:07,+04:17:01
,423,"Andersson, Anette (SWE)",08:40:54,+04:17:48
,424,"Zetterström, Sophie (SWE)",08:41:04,+04:17:58
,425,"Holmstrand, Elin (SWE)",08:41:26,+04:18:20
,426,"Evaldsson, Klara (SWE)",08:41:52,+04:18:46
,427,"Dandenell, Anna (SWE)",08:42:15,+04:19:09
,428,"Häger, Hanna (SWE)",08:42:52,+04:19:46
