total-place,gender-place,name,time,diff
,3614,"Davén, Martin (SWE)",00:39:45,+27:44
,3615,"Tuominen, Jani (FIN)",00:39:46,+27:45
,3616,"Lundberg, Ulrik (SWE)",00:39:47,+27:46
,3617,"Sundström, Johan (SWE)",00:39:47,+27:46
,3618,"Kask, Hans-Kristjan (EST)",00:39:47,+27:46
,3619,"Nordh, Jimmy (SWE)",00:39:47,+27:46
,3620,"Woldene, Henrik (NOR)",00:39:48,+27:47
,3621,"Olsson, Christer (SWE)",00:39:48,+27:47
,3622,"Seidel, Bertram (GER)",00:39:48,+27:47
,3623,"Tarvonen, Christian (FIN)",00:39:48,+27:47
,3624,"Kahlow, Hampus (SWE)",00:39:48,+27:47
,3625,"Lundholm, Staffan (SWE)",00:39:48,+27:47
,3626,"Johansson, Dennis (SWE)",00:39:49,+27:48
,3627,"Kasper, Steffen (GER)",00:39:49,+27:48
,3628,"Thurfjell, Andreas (SWE)",00:39:49,+27:48
,3629,"Ahlander, Alfred (SWE)",00:39:49,+27:48
,3630,"Wilhelmsson, Sören Kjell (SWE)",00:39:50,+27:49
,3631,"Carlen, Simon (SUI)",00:39:50,+27:49
,3632,"Granstedt, Jan (NOR)",00:39:50,+27:49
,3633,"Gustafsson, Olof (SWE)",00:39:51,+27:50
,3634,"Schöldström, Pär (SWE)",00:39:51,+27:50
,3635,"Joelsson, Martin (SWE)",00:39:52,+27:51
,3636,"Persson, Martin (SWE)",00:39:52,+27:51
,3637,"Sjöberg, Dennis (SWE)",00:39:52,+27:51
,3638,"Ellner, David (SWE)",00:39:52,+27:51
,3639,"Appel, Johannes (GER)",00:39:52,+27:51
,3640,"Jacobsson, Reine (SWE)",00:39:53,+27:52
,3641,"Sandell, Ronny (SWE)",00:39:53,+27:52
,3642,"Persson, Adam (SWE)",00:39:54,+27:53
,3643,"Fast, Karl (SWE)",00:39:54,+27:53
,3644,"Eliasson, Fredrik (SWE)",00:39:55,+27:54
,3645,"Salomonsson, Albin (SWE)",00:39:56,+27:55
,3646,"Døssing, Simon (DEN)",00:39:57,+27:56
,3647,"Johnsson, Elias (SWE)",00:39:57,+27:56
,3648,"Della Pietra, Fabio (ITA)",00:39:57,+27:56
,3649,"Erharter, Klaus (AUT)",00:39:57,+27:56
,3650,"Östmark, Anton (SWE)",00:39:58,+27:57
,3651,"Gröning, Andreas (SWE)",00:39:58,+27:57
,3652,"Karnebäck, Gustav (SWE)",00:39:58,+27:57
,3653,"Eklund, Karl (SWE)",00:39:58,+27:57
,3654,"Forsgren, Karl (SWE)",00:39:59,+27:58
,3655,"Fridolfsson, Magnus (SWE)",00:39:59,+27:58
,3656,"Elveros, Erik (SWE)",00:40:01,+28:00
,3657,"Krantz, Niklas (SWE)",00:40:01,+28:00
,3658,"Oscarsson, Ludvig (SWE)",00:40:01,+28:00
,3659,"Jändel, Viktor (SWE)",00:40:02,+28:01
,3660,"Hahl, Cedric (GER)",00:40:04,+28:03
,3661,"Monteleone, Giuseppe (ITA)",00:40:04,+28:03
,3662,"Byström, Tomas (SWE)",00:40:05,+28:04
,3663,"Bertossi, Giovanni (ITA)",00:40:06,+28:05
,3664,"Punning, Raimo (EST)",00:40:06,+28:05
,3665,"Ernst, Manuel (SUI)",00:40:07,+28:06
,3666,"Johansson, Ulf (SWE)",00:40:07,+28:06
,3667,"Uhtlik, Ove (EST)",00:40:09,+28:08
,3668,"Gustafsson, Mikael (SWE)",00:40:09,+28:08
,3669,"Wadman, Anders (SWE)",00:40:10,+28:09
,3670,"Lundin, Bo (SWE)",00:40:10,+28:09
,3671,"Willman, Adam (SWE)",00:40:11,+28:10
,3672,"Ejderholm, Henrik (SWE)",00:40:11,+28:10
,3673,"Nilsson, Henrik (SWE)",00:40:12,+28:11
,3674,"Gunterberg, Ulf (SWE)",00:40:13,+28:12
,3675,"Martinovic, Jiri (CZE)",00:40:13,+28:12
,3676,"Eriksson, Magnus (SWE)",00:40:13,+28:12
,3677,"Teppola, Arvo (SWE)",00:40:14,+28:13
,3678,"Riarbäck, Pontus (SWE)",00:40:15,+28:14
,3679,"Freiholtz, Magnus (SWE)",00:40:15,+28:14
,3680,"Nordlund, Erik (SWE)",00:40:15,+28:14
,3681,"Sandgård Poulsen, Marcus (DEN)",00:40:16,+28:15
,3682,"Beddari, Knut (NOR)",00:40:16,+28:15
,3683,"Miledal, Morgan (SWE)",00:40:19,+28:18
,3684,"Nilsson, Johan (SWE)",00:40:20,+28:19
,3685,"Mätare, Christoffer (SWE)",00:40:22,+28:21
,3686,"Sbetta, Marino (ITA)",00:40:22,+28:21
,3687,"Ahlstrand, Fredrik (SWE)",00:40:22,+28:21
,3688,"Nilsson, Jan-Olof (SWE)",00:40:24,+28:23
